date,market,ticker,community,ari_stability,algorithm
2018-06-05,nifty50,SHRIRAMFIN.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,SUNPHARMA.NS,2,0.23059499956442198,leiden
2018-06-05,nifty50,TATACONSUM.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,TATASTEEL.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,TCS.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,TECHM.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,TITAN.NS,0,0.23059499956442198,leiden
2018-06-05,nifty50,ULTRACEMCO.NS,1,0.23059499956442198,leiden
2018-06-05,nifty50,WIPRO.NS,0,0.23059499956442198,leiden
2018-07-04,nifty50,ADANIENT.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,ADANIPORTS.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,APOLLOHOSP.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,ASIANPAINT.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,AXISBANK.NS,4,0.3940163327145438,leiden
2018-07-04,nifty50,BAJAJ-AUTO.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,BAJAJFINSV.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,BAJFINANCE.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,BEL.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,BHARTIARTL.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,BPCL.NS,4,0.3940163327145438,leiden
2018-07-04,nifty50,BRITANNIA.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,CIPLA.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,DIVISLAB.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,DRREDDY.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,EICHERMOT.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,GRASIM.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,HCLTECH.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,HDFCBANK.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,HEROMOTOCO.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,HINDALCO.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,HINDUNILVR.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,ICICIBANK.NS,4,0.3940163327145438,leiden
2018-07-04,nifty50,INDUSINDBK.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,INFY.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,ITC.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,JSWSTEEL.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,KOTAKBANK.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,LT.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,M&M.NS,2,0.3940163327145438,leiden
2018-07-04,nifty50,MARUTI.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,NESTLEIND.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,NTPC.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,ONGC.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,POWERGRID.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,RELIANCE.NS,4,0.3940163327145438,leiden
2018-07-04,nifty50,SBIN.NS,4,0.3940163327145438,leiden
2018-07-04,nifty50,SHRIRAMFIN.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,SUNPHARMA.NS,1,0.3940163327145438,leiden
2018-07-04,nifty50,TATACONSUM.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,TATASTEEL.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,TCS.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,TECHM.NS,3,0.3940163327145438,leiden
2018-07-04,nifty50,TITAN.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,ULTRACEMCO.NS,0,0.3940163327145438,leiden
2018-07-04,nifty50,WIPRO.NS,3,0.3940163327145438,leiden
2018-08-02,nifty50,ADANIENT.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,ADANIPORTS.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,APOLLOHOSP.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,ASIANPAINT.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,AXISBANK.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,BAJAJ-AUTO.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,BAJAJFINSV.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,BAJFINANCE.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,BEL.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,BHARTIARTL.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,BPCL.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,BRITANNIA.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,CIPLA.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,DIVISLAB.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,DRREDDY.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,EICHERMOT.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,GRASIM.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,HCLTECH.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,HDFCBANK.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,HEROMOTOCO.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,HINDALCO.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,HINDUNILVR.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,ICICIBANK.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,INDUSINDBK.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,INFY.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,ITC.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,JSWSTEEL.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,KOTAKBANK.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,LT.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,M&M.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,MARUTI.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,NESTLEIND.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,NTPC.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,ONGC.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,POWERGRID.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,RELIANCE.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,SBIN.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,SHRIRAMFIN.NS,3,0.2566186605827273,leiden
2018-08-02,nifty50,SUNPHARMA.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,TATACONSUM.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,TATASTEEL.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,TCS.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,TECHM.NS,1,0.2566186605827273,leiden
2018-08-02,nifty50,TITAN.NS,2,0.2566186605827273,leiden
2018-08-02,nifty50,ULTRACEMCO.NS,0,0.2566186605827273,leiden
2018-08-02,nifty50,WIPRO.NS,1,0.2566186605827273,leiden
2018-09-04,nifty50,ADANIENT.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,ADANIPORTS.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,APOLLOHOSP.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,ASIANPAINT.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,AXISBANK.NS,3,0.3099534800098883,leiden
2018-09-04,nifty50,BAJAJ-AUTO.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,BAJAJFINSV.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,BAJFINANCE.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,BEL.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,BHARTIARTL.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,BPCL.NS,3,0.3099534800098883,leiden
2018-09-04,nifty50,BRITANNIA.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,CIPLA.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,DIVISLAB.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,DRREDDY.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,EICHERMOT.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,GRASIM.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,HCLTECH.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,HDFCBANK.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,HEROMOTOCO.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,HINDALCO.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,HINDUNILVR.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,ICICIBANK.NS,3,0.3099534800098883,leiden
2018-09-04,nifty50,INDUSINDBK.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,INFY.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,ITC.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,JSWSTEEL.NS,1,0.3099534800098883,leiden
2018-09-04,nifty50,KOTAKBANK.NS,2,0.3099534800098883,leiden
2018-09-04,nifty50,LT.NS,0,0.3099534800098883,leiden
2018-09-04,nifty50,M&M.NS,1,0.3099534800098883,leiden
