date,market,ticker,community,ari_stability
2022-11-10,nifty50,TCS.NS,0,0.37648711406702406
2022-11-10,nifty50,TECHM.NS,0,0.37648711406702406
2022-11-10,nifty50,TITAN.NS,1,0.37648711406702406
2022-11-10,nifty50,ULTRACEMCO.NS,4,0.37648711406702406
2022-11-10,nifty50,WIPRO.NS,0,0.37648711406702406
2022-11-11,nifty50,ADANIENT.NS,4,0.5427539874777204
2022-11-11,nifty50,ADANIPORTS.NS,4,0.5427539874777204
2022-11-11,nifty50,ASIANPAINT.NS,1,0.5427539874777204
2022-11-11,nifty50,AXISBANK.NS,2,0.5427539874777204
2022-11-11,nifty50,BAJAJFINSV.NS,1,0.5427539874777204
2022-11-11,nifty50,BAJFINANCE.NS,1,0.5427539874777204
2022-11-11,nifty50,BHARTIARTL.NS,2,0.5427539874777204
2022-11-11,nifty50,HCLTECH.NS,0,0.5427539874777204
2022-11-11,nifty50,HDFCBANK.NS,1,0.5427539874777204
2022-11-11,nifty50,HINDUNILVR.NS,1,0.5427539874777204
2022-11-11,nifty50,ICICIBANK.NS,2,0.5427539874777204
2022-11-11,nifty50,INFY.NS,0,0.5427539874777204
2022-11-11,nifty50,ITC.NS,1,0.5427539874777204
2022-11-11,nifty50,JSWSTEEL.NS,3,0.5427539874777204
2022-11-11,nifty50,KOTAKBANK.NS,2,0.5427539874777204
2022-11-11,nifty50,LT.NS,4,0.5427539874777204
2022-11-11,nifty50,M&M.NS,2,0.5427539874777204
2022-11-11,nifty50,MARUTI.NS,2,0.5427539874777204
2022-11-11,nifty50,NTPC.NS,3,0.5427539874777204
2022-11-11,nifty50,ONGC.NS,3,0.5427539874777204
2022-11-11,nifty50,POWERGRID.NS,3,0.5427539874777204
2022-11-11,nifty50,RELIANCE.NS,1,0.5427539874777204
2022-11-11,nifty50,SBIN.NS,2,0.5427539874777204
2022-11-11,nifty50,SUNPHARMA.NS,3,0.5427539874777204
2022-11-11,nifty50,TATASTEEL.NS,3,0.5427539874777204
2022-11-11,nifty50,TCS.NS,0,0.5427539874777204
2022-11-11,nifty50,TECHM.NS,0,0.5427539874777204
2022-11-11,nifty50,TITAN.NS,1,0.5427539874777204
2022-11-11,nifty50,ULTRACEMCO.NS,2,0.5427539874777204
2022-11-11,nifty50,WIPRO.NS,0,0.5427539874777204
2022-11-14,nifty50,ADANIENT.NS,5,0.8511140774206798
2022-11-14,nifty50,ADANIPORTS.NS,5,0.8511140774206798
2022-11-14,nifty50,ASIANPAINT.NS,1,0.8511140774206798
2022-11-14,nifty50,AXISBANK.NS,3,0.8511140774206798
2022-11-14,nifty50,BAJAJFINSV.NS,1,0.8511140774206798
2022-11-14,nifty50,BAJFINANCE.NS,1,0.8511140774206798
